Implementation_Order,New_Build_Rank,Next_Candidate_Rank,SKU_ID,Product,Product_Family,Implementation_Status,Mapped_Working_SKU,Decision_Tier,Priority_Score_0_100,Creation_Effort_1_5,Validation_Effort_1_5,Commercial_Risk_1_5,Trend_Score_0_100,Estimated_Market_Fit_1_5,Market_Evidence_Confidence_1_5,Strategy_Fit_1_5,AM_Differentiation_1_5,Portfolio_Leverage_1_5,Digital_First_Fit_1_5,Economics_1_5,Source_IDs,Scoring_Rationale,Next_Action,Scored_On,Scoring_Version,Score_Status
254,217,,SKU-133,Labeled travel cable-winder cassette,Travel and cable organization,NOT_STARTED,,2 VALIDATE NEXT,81.5,2,3,3,97.0,5,3,5,4,4,5,4,S31; S01; S09; S11; S19; S32,"Estimated market fit 5/5 with evidence confidence 3/5; strategy fit 5/5; additive differentiation 4/5; portfolio leverage 4/5; creation effort 2/5, validation effort 3/5 and commercial risk 3/5.",Run demand and workflow validation before CAD capacity is assigned. Proposed gate: Test bend radius and connector retention on five generic cable types.,2026-09-04,1.3,PLANNING ESTIMATE — NOT RELEASE APPROVAL
255,218,,SKU-271,Ticket-stub chronological desk archive,Sentimental display and archive,NOT_STARTED,,2 VALIDATE NEXT,81.0,2,2,1,89.0,4,3,4,4,4,5,4,S01; S31; S34; S32,"Estimated market fit 4/5 with evidence confidence 3/5; strategy fit 4/5; additive differentiation 4/5; portfolio leverage 4/5; creation effort 2/5, validation effort 2/5 and commercial risk 1/5.",Run demand and workflow validation before CAD capacity is assigned. Proposed gate: Validate one inert object or card set and print a contact/recess coupon before the complete display.,2026-09-04,1.3,PLANNING ESTIMATE — NOT RELEASE APPROVAL
256,219,,SKU-276,Keychain-collection freestanding rail,Sentimental display and archive,NOT_STARTED,,2 VALIDATE NEXT,81.0,2,2,1,87.0,4,3,4,4,4,5,4,S01; S31; S34; S32,"Estimated market fit 4/5 with evidence confidence 3/5; strategy fit 4/5; additive differentiation 4/5; portfolio leverage 4/5; creation effort 2/5, validation effort 2/5 and commercial risk 1/5.",Run demand and workflow validation before CAD capacity is assigned. Proposed gate: Validate one inert object or card set and print a contact/recess coupon before the complete display.,2026-09-04,1.3,PLANNING ESTIMATE — NOT RELEASE APPROVAL
257,220,,SKU-278,Transit-ticket route divider box,Sentimental display and archive,NOT_STARTED,,2 VALIDATE NEXT,81.0,2,2,1,88.0,4,3,4,4,4,5,4,S01; S31; S34; S32,"Estimated market fit 4/5 with evidence confidence 3/5; strategy fit 4/5; additive differentiation 4/5; portfolio leverage 4/5; creation effort 2/5, validation effort 2/5 and commercial risk 1/5.",Run demand and workflow validation before CAD capacity is assigned. Proposed gate: Validate one inert object or card set and print a contact/recess coupon before the complete display.,2026-09-04,1.3,PLANNING ESTIMATE — NOT RELEASE APPROVAL
258,221,,SKU-377,HexFan raked hex-key rack,AI-generated tools & desktop utility,NOT_STARTED,,2 VALIDATE NEXT,81.0,2,3,1,82.0,4,2,5,5,4,4,3,S102; S103,"Estimated market fit 4/5 with evidence confidence 2/5; strategy fit 5/5; additive differentiation 5/5; portfolio leverage 4/5; creation effort 2/5, validation effort 3/5 and commercial risk 1/5.","Run demand and workflow validation before CAD capacity is assigned. Proposed gate: Resolve the Step1X-3D licence conflict for EU commercial use first [S125][S126]; then: Print the interface coupon against the exact purchased hardware, measure retention, then confirm the grip geometry on a real task",2026-09-04,1.3,PLANNING ESTIMATE — NOT RELEASE APPROVAL
259,222,,SKU-382,SpinHub bearing tape dispenser,AI-generated tools & desktop utility,NOT_STARTED,,2 VALIDATE NEXT,81.0,2,3,1,82.0,4,2,5,5,4,4,3,S102,"Estimated market fit 4/5 with evidence confidence 2/5; strategy fit 5/5; additive differentiation 5/5; portfolio leverage 4/5; creation effort 2/5, validation effort 3/5 and commercial risk 1/5.","Run demand and workflow validation before CAD capacity is assigned. Proposed gate: Resolve the Step1X-3D licence conflict for EU commercial use first [S125][S126]; then: Print the interface coupon against the exact purchased hardware, measure retention, then confirm the grip geometry on a real task",2026-09-04,1.3,PLANNING ESTIMATE — NOT RELEASE APPROVAL
260,223,,SKU-016,Travel mahjong rack segments,"Mahjong racks, pushers & tile trays",NOT_STARTED,,2 VALIDATE NEXT,80.8,2,2,2,89.0,5,4,3,5,3,5,5,S01; S11; S16; S17,"Estimated market fit 5/5 with evidence confidence 4/5; strategy fit 3/5; additive differentiation 5/5; portfolio leverage 3/5; creation effort 2/5, validation effort 2/5 and commercial risk 2/5.",Run demand and workflow validation before CAD capacity is assigned. Proposed gate: Eliminate separate small connector parts,2026-09-04,1.3,PLANNING ESTIMATE — NOT RELEASE APPROVAL
261,224,,SKU-034,Wedding or event table-number set,"Personalized signs, house numbers & event decor",NOT_STARTED,,2 VALIDATE NEXT,80.8,2,2,2,85.0,4,3,4,5,4,5,4,S01; S04; S11; S16; S24,"Estimated market fit 4/5 with evidence confidence 3/5; strategy fit 4/5; additive differentiation 5/5; portfolio leverage 4/5; creation effort 2/5, validation effort 2/5 and commercial risk 2/5.",Run demand and workflow validation before CAD capacity is assigned. Proposed gate: Create batch generator and packing/QC checklist,2026-09-04,1.3,PLANNING ESTIMATE — NOT RELEASE APPROVAL
262,225,,SKU-040,Makeup-brush holder with removable drip cup,Makeup & vanity organizers,NOT_STARTED,,2 VALIDATE NEXT,80.8,2,2,2,91.0,4,3,4,5,4,5,4,S07; S11; S19,"Estimated market fit 4/5 with evidence confidence 3/5; strategy fit 4/5; additive differentiation 5/5; portfolio leverage 4/5; creation effort 2/5, validation effort 2/5 and commercial risk 2/5.",Run demand and workflow validation before CAD capacity is assigned. Proposed gate: Validate cleaning procedure and drainage geometry,2026-09-04,1.3,PLANNING ESTIMATE — NOT RELEASE APPROVAL
263,226,,SKU-119,L-shaped shelf-corner micro-bin,Exact-fit shelf organization,NOT_STARTED,,2 VALIDATE NEXT,80.8,2,3,2,91.0,5,3,5,3,4,4,4,S31; S11; S19; S32,"Estimated market fit 5/5 with evidence confidence 3/5; strategy fit 5/5; additive differentiation 3/5; portfolio leverage 4/5; creation effort 2/5, validation effort 3/5 and commercial risk 2/5.",Run demand and workflow validation before CAD capacity is assigned. Proposed gate: Create paper outline workflow and test around three common shelf obstructions.,2026-09-04,1.3,PLANNING ESTIMATE — NOT RELEASE APPROVAL
264,227,,SKU-143,Page-turn remote tabletop dock,Reading accessories,NOT_STARTED,,2 VALIDATE NEXT,80.8,1,2,2,84.0,4,3,4,5,4,4,3,S01; S31; S11; S19; S32,"Estimated market fit 4/5 with evidence confidence 3/5; strategy fit 4/5; additive differentiation 5/5; portfolio leverage 4/5; creation effort 1/5, validation effort 2/5 and commercial risk 2/5.",Run demand and workflow validation before CAD capacity is assigned. Proposed gate: Test retrieval; accidental button press and five remote-size coupons.,2026-09-04,1.3,PLANNING ESTIMATE — NOT RELEASE APPROVAL
265,228,,SKU-410,Ribbed column pillar riser,AI-generated trending decor objects,NOT_STARTED,,2 VALIDATE NEXT,80.8,2,2,2,80.0,4,2,5,5,4,4,3,S113; S114,"Estimated market fit 4/5 with evidence confidence 2/5; strategy fit 5/5; additive differentiation 5/5; portfolio leverage 4/5; creation effort 2/5, validation effort 2/5 and commercial risk 2/5.","Run demand and workflow validation before CAD capacity is assigned. Proposed gate: Resolve the Step1X-3D licence conflict for EU commercial use first [S125][S126]; then: Print one interface coupon for the insert, pot or keep-out, verify fit and stability, then decide the sealing and heat exclusions",2026-09-04,1.3,PLANNING ESTIMATE — NOT RELEASE APPROVAL
266,229,,SKU-103,Lift-out shallow upper drawer tray,Exact-fit drawer extensions,NOT_STARTED,,2 VALIDATE NEXT,80.5,2,4,3,88.0,5,3,5,5,4,4,4,S31; S11; S19; S32,"Estimated market fit 5/5 with evidence confidence 3/5; strategy fit 5/5; additive differentiation 5/5; portfolio leverage 4/5; creation effort 2/5, validation effort 4/5 and commercial risk 3/5.",Run demand and workflow validation before CAD capacity is assigned. Proposed gate: Build one 200 mm span prototype; test 500 removals and a conservative light-load limit.,2026-09-04,1.3,PLANNING ESTIMATE — NOT RELEASE APPROVAL
267,230,,SKU-110,Fountain-pen and ink-sample drawer cassette,Writing-tool organization,NOT_STARTED,,2 VALIDATE NEXT,80.5,1,4,3,95.0,5,4,5,5,4,2,3,S01; S33; S31; S11; S19; S32,"Estimated market fit 5/5 with evidence confidence 4/5; strategy fit 5/5; additive differentiation 5/5; portfolio leverage 4/5; creation effort 1/5, validation effort 4/5 and commercial risk 3/5.",Run demand and workflow validation before CAD capacity is assigned. Proposed gate: Test staining; pad abrasion and removal with inexpensive pens and water-filled dummy vials.,2026-09-04,1.3,PLANNING ESTIMATE — NOT RELEASE APPROVAL
268,231,,SKU-218,Warranty-and-manual mini file,Small-space dry organization,NOT_STARTED,,2 VALIDATE NEXT,80.0,2,3,1,90.0,4,3,5,4,4,4,3,S31; S32,"Estimated market fit 4/5 with evidence confidence 3/5; strategy fit 5/5; additive differentiation 4/5; portfolio leverage 4/5; creation effort 2/5, validation effort 3/5 and commercial risk 1/5.","Run demand and workflow validation before CAD capacity is assigned. Proposed gate: Run the measurement workflow on one real envelope, then print the smallest fit corner or divider coupon before a full prototype.",2026-09-04,1.3,PLANNING ESTIMATE — NOT RELEASE APPROVAL
269,232,,SKU-330,Elephant trunk smartphone dock,AI-generated animals & creatures,NOT_STARTED,,2 VALIDATE NEXT,80.0,2,2,1,80.0,4,2,4,5,4,4,3,S102; S86,"Estimated market fit 4/5 with evidence confidence 2/5; strategy fit 4/5; additive differentiation 5/5; portfolio leverage 4/5; creation effort 2/5, validation effort 2/5 and commercial risk 1/5.","Run demand and workflow validation before CAD capacity is assigned. Proposed gate: Resolve the Step1X-3D licence conflict for EU commercial use first [S125][S126]; then: Generate one reference image and one Step1X-3D mesh, repair to a watertight solid, then print one smallest-feature coupon before a full model",2026-09-04,1.3,PLANNING ESTIMATE — NOT RELEASE APPROVAL
270,233,,SKU-332,Tree Frog bookmark reading clip,AI-generated animals & creatures,NOT_STARTED,,2 VALIDATE NEXT,80.0,2,2,1,87.0,4,2,4,5,4,4,3,S84; S110,"Estimated market fit 4/5 with evidence confidence 2/5; strategy fit 4/5; additive differentiation 5/5; portfolio leverage 4/5; creation effort 2/5, validation effort 2/5 and commercial risk 1/5.","Run demand and workflow validation before CAD capacity is assigned. Proposed gate: Resolve the Step1X-3D licence conflict for EU commercial use first [S125][S126]; then: Generate one reference image and one Step1X-3D mesh, repair to a watertight solid, then print one smallest-feature coupon before a full model",2026-09-04,1.3,PLANNING ESTIMATE — NOT RELEASE APPROVAL
271,234,,SKU-334,Perched Raven ring & trinket dish,AI-generated animals & creatures,NOT_STARTED,,2 VALIDATE NEXT,80.0,2,2,1,79.0,4,2,4,5,4,4,3,S87; S113,"Estimated market fit 4/5 with evidence confidence 2/5; strategy fit 4/5; additive differentiation 5/5; portfolio leverage 4/5; creation effort 2/5, validation effort 2/5 and commercial risk 1/5.","Run demand and workflow validation before CAD capacity is assigned. Proposed gate: Resolve the Step1X-3D licence conflict for EU commercial use first [S125][S126]; then: Generate one reference image and one Step1X-3D mesh, repair to a watertight solid, then print one smallest-feature coupon before a full model",2026-09-04,1.3,PLANNING ESTIMATE — NOT RELEASE APPROVAL
272,235,,SKU-335,Chibi Cyberpunk Hacker figurine,AI-generated cartoon & comic characters,NOT_STARTED,,2 VALIDATE NEXT,80.0,1,1,1,75.0,3,2,4,5,4,4,3,S86; S87,"Estimated market fit 3/5 with evidence confidence 2/5; strategy fit 4/5; additive differentiation 5/5; portfolio leverage 4/5; creation effort 1/5, validation effort 1/5 and commercial risk 1/5.","Run demand and workflow validation before CAD capacity is assigned. Proposed gate: Resolve the Step1X-3D licence conflict for EU commercial use first [S125][S126]; then: Run the originality and trade-dress review, then generate one reference image, one Step1X-3D mesh and one printed minimum-feature coupon",2026-09-04,1.3,PLANNING ESTIMATE — NOT RELEASE APPROVAL
273,236,,SKU-338,Chibi Valorous Paladin with shield,AI-generated cartoon & comic characters,NOT_STARTED,,2 VALIDATE NEXT,80.0,1,1,1,76.0,3,2,4,5,4,4,3,S86; S88,"Estimated market fit 3/5 with evidence confidence 2/5; strategy fit 4/5; additive differentiation 5/5; portfolio leverage 4/5; creation effort 1/5, validation effort 1/5 and commercial risk 1/5.","Run demand and workflow validation before CAD capacity is assigned. Proposed gate: Resolve the Step1X-3D licence conflict for EU commercial use first [S125][S126]; then: Run the originality and trade-dress review, then generate one reference image, one Step1X-3D mesh and one printed minimum-feature coupon",2026-09-04,1.3,PLANNING ESTIMATE — NOT RELEASE APPROVAL
274,237,,SKU-339,Chibi Shadow Ninja paperclip magnet,AI-generated cartoon & comic characters,NOT_STARTED,,2 VALIDATE NEXT,80.0,2,2,1,84.0,4,2,4,5,4,4,3,S86,"Estimated market fit 4/5 with evidence confidence 2/5; strategy fit 4/5; additive differentiation 5/5; portfolio leverage 4/5; creation effort 2/5, validation effort 2/5 and commercial risk 1/5.","Run demand and workflow validation before CAD capacity is assigned. Proposed gate: Resolve the Step1X-3D licence conflict for EU commercial use first [S125][S126]; then: Run the originality and trade-dress review, then generate one reference image, one Step1X-3D mesh and one printed minimum-feature coupon",2026-09-04,1.3,PLANNING ESTIMATE — NOT RELEASE APPROVAL
275,238,,SKU-341,Retro Sci-Fi Astronaut figurine,AI-generated cartoon & comic characters,NOT_STARTED,,2 VALIDATE NEXT,80.0,1,1,1,74.0,3,2,4,5,4,4,3,S87; S113,"Estimated market fit 3/5 with evidence confidence 2/5; strategy fit 4/5; additive differentiation 5/5; portfolio leverage 4/5; creation effort 1/5, validation effort 1/5 and commercial risk 1/5.","Run demand and workflow validation before CAD capacity is assigned. Proposed gate: Resolve the Step1X-3D licence conflict for EU commercial use first [S125][S126]; then: Run the originality and trade-dress review, then generate one reference image, one Step1X-3D mesh and one printed minimum-feature coupon",2026-09-04,1.3,PLANNING ESTIMATE — NOT RELEASE APPROVAL
276,239,,SKU-346,Mecha Pilot Android desktop statue,AI-generated cartoon & comic characters,NOT_STARTED,,2 VALIDATE NEXT,80.0,1,1,1,76.0,3,2,4,5,4,4,3,S86,"Estimated market fit 3/5 with evidence confidence 2/5; strategy fit 4/5; additive differentiation 5/5; portfolio leverage 4/5; creation effort 1/5, validation effort 1/5 and commercial risk 1/5.","Run demand and workflow validation before CAD capacity is assigned. Proposed gate: Resolve the Step1X-3D licence conflict for EU commercial use first [S125][S126]; then: Run the originality and trade-dress review, then generate one reference image, one Step1X-3D mesh and one printed minimum-feature coupon",2026-09-04,1.3,PLANNING ESTIMATE — NOT RELEASE APPROVAL
277,240,,SKU-347,Chibi Valkyrie Warrior figurine,AI-generated cartoon & comic characters,NOT_STARTED,,2 VALIDATE NEXT,80.0,1,1,1,74.0,3,2,4,5,4,4,3,S86,"Estimated market fit 3/5 with evidence confidence 2/5; strategy fit 4/5; additive differentiation 5/5; portfolio leverage 4/5; creation effort 1/5, validation effort 1/5 and commercial risk 1/5.","Run demand and workflow validation before CAD capacity is assigned. Proposed gate: Resolve the Step1X-3D licence conflict for EU commercial use first [S125][S126]; then: Run the originality and trade-dress review, then generate one reference image, one Step1X-3D mesh and one printed minimum-feature coupon",2026-09-04,1.3,PLANNING ESTIMATE — NOT RELEASE APPROVAL
278,241,,SKU-350,Celestial Star Fox tabletop sculpture,AI-generated cartoon & comic characters,NOT_STARTED,,2 VALIDATE NEXT,80.0,1,1,1,76.0,3,2,4,5,4,4,3,S113,"Estimated market fit 3/5 with evidence confidence 2/5; strategy fit 4/5; additive differentiation 5/5; portfolio leverage 4/5; creation effort 1/5, validation effort 1/5 and commercial risk 1/5.","Run demand and workflow validation before CAD capacity is assigned. Proposed gate: Resolve the Step1X-3D licence conflict for EU commercial use first [S125][S126]; then: Run the originality and trade-dress review, then generate one reference image, one Step1X-3D mesh and one printed minimum-feature coupon",2026-09-04,1.3,PLANNING ESTIMATE — NOT RELEASE APPROVAL
279,242,,SKU-352,Chibi Space Miner with crystal base,AI-generated cartoon & comic characters,NOT_STARTED,,2 VALIDATE NEXT,80.0,1,1,1,75.0,3,2,4,5,4,4,3,S86; S87; S113,"Estimated market fit 3/5 with evidence confidence 2/5; strategy fit 4/5; additive differentiation 5/5; portfolio leverage 4/5; creation effort 1/5, validation effort 1/5 and commercial risk 1/5.","Run demand and workflow validation before CAD capacity is assigned. Proposed gate: Resolve the Step1X-3D licence conflict for EU commercial use first [S125][S126]; then: Run the originality and trade-dress review, then generate one reference image, one Step1X-3D mesh and one printed minimum-feature coupon",2026-09-04,1.3,PLANNING ESTIMATE — NOT RELEASE APPROVAL
280,243,,SKU-387,Asana yoga-figure bookend pair,"AI-generated persons, figurines & statues",NOT_STARTED,,2 VALIDATE NEXT,80.0,2,2,1,83.0,4,2,4,5,4,4,3,S110; S112,"Estimated market fit 4/5 with evidence confidence 2/5; strategy fit 4/5; additive differentiation 5/5; portfolio leverage 4/5; creation effort 2/5, validation effort 2/5 and commercial risk 1/5.","Run demand and workflow validation before CAD capacity is assigned. Proposed gate: Resolve the Step1X-3D licence conflict for EU commercial use first [S125][S126]; then: Run the likeness and rights review, then generate one reference image, one Step1X-3D mesh and one printed minimum-feature coupon",2026-09-04,1.3,PLANNING ESTIMATE — NOT RELEASE APPROVAL
281,244,,SKU-389,Portrait bust blank personalisation base,"AI-generated persons, figurines & statues",NOT_STARTED,,2 VALIDATE NEXT,80.0,1,1,1,74.0,3,2,4,5,4,4,3,S110; S120; S121,"Estimated market fit 3/5 with evidence confidence 2/5; strategy fit 4/5; additive differentiation 5/5; portfolio leverage 4/5; creation effort 1/5, validation effort 1/5 and commercial risk 1/5.","Run demand and workflow validation before CAD capacity is assigned. Proposed gate: Resolve the Step1X-3D licence conflict for EU commercial use first [S125][S126]; then: Run the likeness and rights review, then generate one reference image, one Step1X-3D mesh and one printed minimum-feature coupon",2026-09-04,1.3,PLANNING ESTIMATE — NOT RELEASE APPROVAL
282,245,,SKU-390,Guitarist figure pick and cable dock,"AI-generated persons, figurines & statues",NOT_STARTED,,2 VALIDATE NEXT,80.0,2,2,1,79.0,4,2,4,5,4,4,3,S110; S112,"Estimated market fit 4/5 with evidence confidence 2/5; strategy fit 4/5; additive differentiation 5/5; portfolio leverage 4/5; creation effort 2/5, validation effort 2/5 and commercial risk 1/5.","Run demand and workflow validation before CAD capacity is assigned. Proposed gate: Resolve the Step1X-3D licence conflict for EU commercial use first [S125][S126]; then: Run the likeness and rights review, then generate one reference image, one Step1X-3D mesh and one printed minimum-feature coupon",2026-09-04,1.3,PLANNING ESTIMATE — NOT RELEASE APPROVAL
283,246,,SKU-393,Cupped-hands ring and watch dish,"AI-generated persons, figurines & statues",NOT_STARTED,,2 VALIDATE NEXT,80.0,2,2,1,80.0,4,2,4,5,4,4,3,S110; S113,"Estimated market fit 4/5 with evidence confidence 2/5; strategy fit 4/5; additive differentiation 5/5; portfolio leverage 4/5; creation effort 2/5, validation effort 2/5 and commercial risk 1/5.","Run demand and workflow validation before CAD capacity is assigned. Proposed gate: Resolve the Step1X-3D licence conflict for EU commercial use first [S125][S126]; then: Run the likeness and rights review, then generate one reference image, one Step1X-3D mesh and one printed minimum-feature coupon",2026-09-04,1.3,PLANNING ESTIMATE — NOT RELEASE APPROVAL
284,247,,SKU-400,Dancer torso jewellery stand,"AI-generated persons, figurines & statues",NOT_STARTED,,2 VALIDATE NEXT,80.0,2,2,1,80.0,4,2,4,5,4,4,3,S110; S113,"Estimated market fit 4/5 with evidence confidence 2/5; strategy fit 4/5; additive differentiation 5/5; portfolio leverage 4/5; creation effort 2/5, validation effort 2/5 and commercial risk 1/5.","Run demand and workflow validation before CAD capacity is assigned. Proposed gate: Resolve the Step1X-3D licence conflict for EU commercial use first [S125][S126]; then: Run the likeness and rights review, then generate one reference image, one Step1X-3D mesh and one printed minimum-feature coupon",2026-09-04,1.3,PLANNING ESTIMATE — NOT RELEASE APPROVAL
285,248,,SKU-045,"Comic, slab or collectible display stand","Bookends, vinyl & display stands",NOT_STARTED,,2 VALIDATE NEXT,79.8,2,2,2,78.0,4,3,4,5,4,4,4,S01; S04; S11; S19,"Estimated market fit 4/5 with evidence confidence 3/5; strategy fit 4/5; additive differentiation 5/5; portfolio leverage 4/5; creation effort 2/5, validation effort 2/5 and commercial risk 2/5.",Run demand and workflow validation before CAD capacity is assigned. Proposed gate: Create one universal and one exact-fit variant,2026-09-04,1.3,PLANNING ESTIMATE — NOT RELEASE APPROVAL
286,249,,SKU-046,Face-out book display cradle,"Bookends, vinyl & display stands",NOT_STARTED,,2 VALIDATE NEXT,79.8,2,2,2,78.0,4,3,4,5,4,4,4,S01; S04; S11; S19,"Estimated market fit 4/5 with evidence confidence 3/5; strategy fit 4/5; additive differentiation 5/5; portfolio leverage 4/5; creation effort 2/5, validation effort 2/5 and commercial risk 2/5.","Run demand and workflow validation before CAD capacity is assigned. Proposed gate: Pilot with hardcover, paperback and photo books",2026-09-04,1.3,PLANNING ESTIMATE — NOT RELEASE APPROVAL
287,250,,SKU-126,Cap and brim shelf separator,Wardrobe and shelf organization,NOT_STARTED,,2 VALIDATE NEXT,79.8,1,2,2,89.0,5,3,4,3,4,3,3,S34; S31; S11; S19; S32,"Estimated market fit 5/5 with evidence confidence 3/5; strategy fit 4/5; additive differentiation 3/5; portfolio leverage 4/5; creation effort 1/5, validation effort 2/5 and commercial risk 2/5.",Run demand and workflow validation before CAD capacity is assigned. Proposed gate: Prototype low-contact brim supports and test with generic sacrificial caps.,2026-09-04,1.3,PLANNING ESTIMATE — NOT RELEASE APPROVAL
288,251,,SKU-129,Board-game box anti-lean wedge set,Adult hobby shelf organization,NOT_STARTED,,2 VALIDATE NEXT,79.8,1,3,2,92.0,5,3,4,4,4,3,3,S01; S33; S31; S11; S19; S32,"Estimated market fit 5/5 with evidence confidence 3/5; strategy fit 4/5; additive differentiation 4/5; portfolio leverage 4/5; creation effort 1/5, validation effort 3/5 and commercial risk 2/5.",Run demand and workflow validation before CAD capacity is assigned. Proposed gate: Test friction; box scuffing and removal force across matte and glossy boxes.,2026-09-04,1.3,PLANNING ESTIMATE — NOT RELEASE APPROVAL
289,252,,SKU-166,Fountain-pen presentation rest set,Writing-tool display,NOT_STARTED,,2 VALIDATE NEXT,79.8,1,3,2,89.0,4,3,5,3,5,3,3,S01; S33; S11; S19; S32,"Estimated market fit 4/5 with evidence confidence 3/5; strategy fit 5/5; additive differentiation 3/5; portfolio leverage 5/5; creation effort 1/5, validation effort 3/5 and commercial risk 2/5.",Run demand and workflow validation before CAD capacity is assigned. Proposed gate: Test pad transfer and abrasion with low-value lacquered pen samples.,2026-09-04,1.3,PLANNING ESTIMATE — NOT RELEASE APPROVAL
290,253,,SKU-168,CD jewel-case now-playing stand,Physical-media display,NOT_STARTED,,2 VALIDATE NEXT,79.8,1,2,2,75.0,4,3,4,3,5,4,3,S35; S01; S11; S19; S32,"Estimated market fit 4/5 with evidence confidence 3/5; strategy fit 4/5; additive differentiation 3/5; portfolio leverage 5/5; creation effort 1/5, validation effort 2/5 and commercial risk 2/5.",Run demand and workflow validation before CAD capacity is assigned. Proposed gate: Test stability with standard and slim empty jewel cases.,2026-09-04,1.3,PLANNING ESTIMATE — NOT RELEASE APPROVAL
291,254,,SKU-144,Reusable desk cable identification flag set,Cable labeling systems,NOT_STARTED,,2 VALIDATE NEXT,79.5,1,4,3,93.0,5,3,5,4,4,4,3,S31; S09; S11; S19; S28; S32,"Estimated market fit 5/5 with evidence confidence 3/5; strategy fit 5/5; additive differentiation 4/5; portfolio leverage 4/5; creation effort 1/5, validation effort 4/5 and commercial risk 3/5.",Run demand and workflow validation before CAD capacity is assigned. Proposed gate: Test 12 cable jackets; pull-off force and 1000 attach cycles.,2026-09-04,1.3,PLANNING ESTIMATE — NOT RELEASE APPROVAL
292,255,,SKU-277,Empty-matchbook-cover archive file,Sentimental display and archive,NOT_STARTED,,2 VALIDATE NEXT,79.0,2,3,1,87.0,4,3,4,4,4,5,4,S01; S31; S34; S32,"Estimated market fit 4/5 with evidence confidence 3/5; strategy fit 4/5; additive differentiation 4/5; portfolio leverage 4/5; creation effort 2/5, validation effort 3/5 and commercial risk 1/5.",Run demand and workflow validation before CAD capacity is assigned. Proposed gate: Validate one inert object or card set and print a contact/recess coupon before the complete display.,2026-09-04,1.3,PLANNING ESTIMATE — NOT RELEASE APPROVAL
293,256,,SKU-327,Sleepy Cat succulent planter,AI-generated animals & creatures,NOT_STARTED,,2 VALIDATE NEXT,79.0,2,3,1,84.0,4,2,4,5,4,5,3,S84; S110,"Estimated market fit 4/5 with evidence confidence 2/5; strategy fit 4/5; additive differentiation 5/5; portfolio leverage 4/5; creation effort 2/5, validation effort 3/5 and commercial risk 1/5.","Run demand and workflow validation before CAD capacity is assigned. Proposed gate: Resolve the Step1X-3D licence conflict for EU commercial use first [S125][S126]; then: Generate one reference image and one Step1X-3D mesh, repair to a watertight solid, then print one smallest-feature coupon before a full model",2026-09-04,1.3,PLANNING ESTIMATE — NOT RELEASE APPROVAL
294,257,,SKU-409,Masquerade mask wall sculpture,AI-generated trending decor objects,NOT_STARTED,,2 VALIDATE NEXT,79.0,1,2,1,76.0,3,2,5,5,4,3,2,S113,"Estimated market fit 3/5 with evidence confidence 2/5; strategy fit 5/5; additive differentiation 5/5; portfolio leverage 4/5; creation effort 1/5, validation effort 2/5 and commercial risk 1/5.","Run demand and workflow validation before CAD capacity is assigned. Proposed gate: Resolve the Step1X-3D licence conflict for EU commercial use first [S125][S126]; then: Print one interface coupon for the insert, pot or keep-out, verify fit and stability, then decide the sealing and heat exclusions",2026-09-04,1.3,PLANNING ESTIMATE — NOT RELEASE APPROVAL
295,258,,SKU-111,Eyeglasses drawer channel insert,Personal-item organization,NOT_STARTED,,2 VALIDATE NEXT,78.8,1,3,2,91.0,5,3,5,3,4,2,2,S31; S11; S19; S32,"Estimated market fit 5/5 with evidence confidence 3/5; strategy fit 5/5; additive differentiation 3/5; portfolio leverage 4/5; creation effort 1/5, validation effort 3/5 and commercial risk 2/5.",Run demand and workflow validation before CAD capacity is assigned. Proposed gate: Print three channel profiles and run scratch/abrasion tests with sacrificial lenses.,2026-09-04,1.3,PLANNING ESTIMATE — NOT RELEASE APPROVAL
296,259,,SKU-162,Coin-capsule display tile,Collectible display and storage,NOT_STARTED,,2 VALIDATE NEXT,78.8,1,2,2,83.0,4,3,4,3,5,3,3,S34; S31; S11; S19; S32,"Estimated market fit 4/5 with evidence confidence 3/5; strategy fit 4/5; additive differentiation 3/5; portfolio leverage 5/5; creation effort 1/5, validation effort 2/5 and commercial risk 2/5.",Run demand and workflow validation before CAD capacity is assigned. Proposed gate: Test capsule retention; removal force and tile joints using acrylic blanks.,2026-09-04,1.3,PLANNING ESTIMATE — NOT RELEASE APPROVAL
297,260,,SKU-371,PalmDriver stubby 6.35 mm bit driver,AI-generated tools & desktop utility,NOT_STARTED,,2 VALIDATE NEXT,78.8,2,3,2,80.0,4,2,5,5,4,4,3,S103; S109,"Estimated market fit 4/5 with evidence confidence 2/5; strategy fit 5/5; additive differentiation 5/5; portfolio leverage 4/5; creation effort 2/5, validation effort 3/5 and commercial risk 2/5.","Run demand and workflow validation before CAD capacity is assigned. Proposed gate: Resolve the Step1X-3D licence conflict for EU commercial use first [S125][S126]; then: Print the interface coupon against the exact purchased hardware, measure retention, then confirm the grip geometry on a real task",2026-09-04,1.3,PLANNING ESTIMATE — NOT RELEASE APPROVAL
